,Country Name,Country Code,Year,Birth Rate,Population_male,Population_female,Population_total,Median_age,Human Development Index,PM2.5_pollution,Urban population rate,Death_Rate,Population_15_64_rate,Population_65_above,Cotisation sociale,Life_expectancy_in_years,gov_health_exp_as_perc_of_gdp,undernourished_population_rate,population_rate_with_water_access,mortality_cvd_crd_cancer_diabete_30_70,uhc_service_coverage,population_growth_rate,Female_employment_rate,GDP per Capita,female_population_rate_15to44
72,Kenya,KEN,2000,39.934,15293161,15558445,30851606,15.6,0.481,25.47181528,19.892,10.677,16025655.0,680839.0,,54.411,0.68693274,,47.5215439625049,22.1,28.0,2.91544684198394,68.107,411.821352113869,44.60818545812261
73,Cambodia,KHM,2000,27.562,5956510,6162331,12118841,18.1,0.425,27.44127631,18.586,9.273,6877901.0,371175.0,,58.625,1.2926054,,51.899880591249,27.2,24.0,1.83064817889597,72.601,301.516598526092,45.44035365838026
74,Kuwait,KWT,2000,21.617,1132811,802091,1934901,25.1,0.787,63.06021564,99.0,1.868,1349823.0,30119.0,,76.722,1.59847891,,100.0,17.3,74.0,3.01539399732843,43.42,19493.8880490915,54.85524709789783
75,Liberia,LBR,2000,43.606,1424909,1470314,2895224,17.5,0.438,50.11199831,44.331,15.228,1577724.0,92229.0,,51.356,0.75365371,,62.1141167174672,19.7,20.0,3.71130059206802,70.259,301.87646966176,43.060855347614414
76,Libya,LBY,2000,21.195,2712865,2441925,5154790,21.5,0.712,39.6695789,76.387,4.686,3239672.0,187313.0,,70.68,1.66848433,,84.2320719602978,19.4,55.0,1.89556266562551,23.168,7424.35347156722,51.13102391167304
77,Sri Lanka,LKA,2000,18.189,9346333,9430039,18776371,26.4,0.688,24.17892698,18.38,8.101,12404117.0,1341715.0,1.67291313329236,70.355,2.27740312,,82.8471911815725,19.2,44.0,0.565924638324724,32.158,869.753488572239,48.65775998687597
78,Lesotho,LSO,2000,28.987,977454,1021176,1998630,18.5,0.452,30.37208717,19.548,16.083,1127531.0,88349.0,0.0295259947277214,48.427,3.16541862,,65.636611158019,32.2,27.0,0.219741612882212,54.169,443.949949675926,45.4228262317171
79,Lithuania,LTU,2000,9.8,1626157,1873378,3499536,35.1,0.766,14.35994595,66.986,11.1,2319668.0,490786.0,,72.0195121951219,4.16960144,,89.6695663284182,24.2,51.0,-0.703385440488978,47.509,3293.22997867086,41.75285578765354
80,Luxembourg,LUX,2000,13.1,215218,221082,436300,36.2,0.864,13.12933947,84.216,8.6,292777.0,60788.0,27.0802110546868,77.8731707317073,4.93300676,,99.9999996217072,15.2,74.0,1.34408299573143,40.043,48659.5988753233,42.68078879773126
81,Latvia,LVA,2000,8.6,1080560,1286989,2367550,37.0,0.756,17.24708544,68.067,13.6,1591657.0,358599.0,,70.3146341463415,2.75761819,,97.8027224566011,27.9,52.0,-0.963935407092365,42.494,3361.64086880275,39.836402248863564
82,Morocco,MAR,2000,22.74,14279162,14275254,28554415,21.3,0.521,32.24000904,53.335,6.432,17599577.0,1226408.0,,66.787,1.01345837,,64.7959021092167,25.8,41.0,1.33056292746569,21.89,1492.37707519531,49.37635608362402
83,Moldova,MDA,2000,11.654,1384963,1539705,2924668,31.6,0.641,19.14252217,44.589,12.993,1974988.0,303558.0,22.8856401147698,66.417,2.90143156,,82.9191762020796,33.0,51.0,-0.203371722054682,51.566,440.538683980372,44.61967228568793
84,Madagascar,MDG,2000,40.417,8147724,8068707,16216431,16.3,0.443,17.23831043,27.121,10.385,8434955.0,458624.0,,57.938,1.76788867,,36.9481213461385,28.7,17.0,3.03990100767654,79.116,285.466463233818,42.86707895081572
85,Maldives,MDV,2000,20.539,145914,136593,282507,17.8,0.628,14.10382753,27.706,4.458,158661.0,10680.0,0.0,70.876,2.56440163,,93.8161752422714,25.7,41.0,1.56830144656694,36.195,2209.98823138762,47.42683529476358
86,Mexico,MEX,2000,24.158,47900060,49973382,97873442,21.8,0.709,30.40916722,74.722,4.997,59464656.0,4897885.0,,73.569,2.01177883,,90.6043820368074,16.7,56.0,1.58455078746177,37.571,7581.84564147003,48.70309257836506
87,North Macedonia,MKD,2000,14.5,1019933,1006416,2026350,32.0,0.675,41.70419101,58.548,8.5,1373875.0,197004.0,,72.9463414634147,4.71220732,,96.8854893538115,30.2,58.0,0.455448702114895,27.079,1861.89899780644,44.937735292621134
88,Mali,MLI,2000,47.112,5670841,5568260,11239101,15.4,0.317,60.98426266,28.356,15.984,5650154.0,355195.0,,50.539,1.293167,,49.8731925730894,25.0,20.0,2.90782929642605,59.633,263.498384244829,40.3052030616386
89,Malta,MLT,2000,11.3,193798,196289,390087,35.8,0.779,16.00051716,92.368,7.5,264049.0,49526.0,,78.3487804878049,4.7191391,,99.999999495466,15.8,75.0,0.645267230900854,27.371,10432.328062168,41.157700330046154
90,Myanmar,MMR,2000,22.942,22768081,22770251,45538332,22.9,0.41,33.39348749,27.025,9.995,28805546.0,2247536.0,0.0,60.155,0.26258978,,47.7268532369647,32.2,25.0,1.09671263838614,61.475,195.550995666386,49.03400166660436
91,Mongolia,MNG,2000,20.419,1216362,1234617,2450979,20.7,0.598,27.08689915,57.133,7.359,1504193.0,83930.0,,62.882,4.23052979,,62.4953614169164,46.4,46.0,0.921869510816351,52.865,463.853881903101,51.04441296369645
92,Mozambique,MOZ,2000,43.734,8655917,9112588,17768505,16.6,0.303,22.68514994,29.098,15.677,9384685.0,501170.0,,49.491,1.1387012,,22.7135095802514,28.9,20.0,2.45330550582502,84.117,333.775138348215,42.62135520666576
93,Mauritania,MRT,2000,37.792,1349905,1345099,2695003,16.6,0.465,71.87885097,38.091,8.856,1427233.0,81230.0,,61.028,0.46969447,,41.6727136260492,18.7,21.0,2.79918208413242,24.738,660.303861060692,42.818983145100525
94,Mauritius,MUS,2000,17.0,592881,593992,1186873,27.9,0.681,14.87889667,42.67,6.7,809071.0,73802.0,,71.6634146341463,1.55006421,,99.3163374767888,29.1,49.0,0.982676166064297,33.978,3929.08178166029,49.79035699701496
95,Malawi,MWI,2000,45.366,5464600,5764787,11229387,16.0,0.374,25.08789463,14.61,19.559,5724286.0,412283.0,,44.518,1.01542294,,53.8551503867891,31.4,22.0,2.30093521781424,73.753,225.952456739454,42.30473736497121
96,Malaysia,MYS,2000,23.047,11631359,11313791,22945150,22.9,0.721,20.58290419,61.977,4.584,14310850.0,940754.0,,72.775,1.17325473,,96.8785596404147,23.2,52.0,2.54459366705921,42.52,4087.56259349384,48.34163013971178
97,Namibia,NAM,2000,31.405,880704,938437,1819141,17.9,0.546,25.48152446,32.373,12.718,1003336.0,57010.0,,51.99,4.85066414,,75.9628102006405,31.3,39.0,2.27194936669291,37.004,2156.09024524858,44.977446541430076
